,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
247,Ghost,Watcher In The Sky,track,IMPERA,12,2022-03-11
248,The 1975,The 1975,track,Being Funny In A Foreign Language,11,2022-10-14
249,Casting Crowns,Scars in Heaven,track,Healer,7,2022-01-14
250,Nickelback,High Time,track,Get Rollin',11,2022-11-18
251,Arcy Drive,Roll My Stone,track,Roll My Stone,1,2022-07-15
252,Arctic Monkeys,There’d Better Be A Mirrorball,track,There’d Better Be A Mirrorball,1,2022-08-30
253,Thomas Rhett,Slow Down Summer,track,Where We Started,15,2022-04-01
254,Pacific Roots,Farmer,track,Still Standing,12,2022-01-07
255,Vance Joy,Clarity,track,Clarity,3,2022-04-06
256,Richy Mitch & The Coal Miners,Laramee,track,Laramee,1,2022-11-21
257,Glass Animals,Solar Power - Spotify Singles,track,Spotify Singles,2,2022-03-31
258,The Killers,boy,track,boy,1,2022-08-05
259,"Black Country, New Road",Concorde,track,Ants From Up There,10,2022-02-04
260,Dirty Heads,Island Glow,track,Midnight Control,10,2022-08-26
261,Newsboys,I Speak Jesus,track,I Speak Jesus,1,2022-09-02
262,TobyMac,The Goodness (feat. Blessing Offor),track,The Goodness,4,2022-06-03
263,Matt Maher,The Lord's Prayer (It's Yours),track,The Lord's Prayer (It's Yours),2,2022-06-24
264,Bad Suns,Life Was Easier When I Only Cared About Me,track,Apocalypse Whenever,13,2022-01-28
265,Ghost,Respite On The Spitalfields,track,IMPERA,12,2022-03-11
266,Stick Figure,Old Sunrise,track,Wisdom,14,2022-09-09
267,for KING & COUNTRY,Love Me Like I Am (with Jordin Sparks),track,Love Me Like I Am (with Jordin Sparks),1,2022-10-07
268,Andy Frasco & The U.N.,Dancin' Around My Grave,track,"Wash, Rinse, Repeat.",12,2022-04-08
269,Korn,Start The Healing,track,Requiem,9,2022-02-04
270,"Black Country, New Road",Chaos Space Marine,track,Ants From Up There,10,2022-02-04
271,Dorothy,Rest In Peace,track,Gifts From The Holy Ghost,10,2022-04-22
272,Polyphia,All Falls Apart,track,Remember That You Will Die,12,2022-10-28
273,The 1975,Part Of The Band,track,Being Funny In A Foreign Language,11,2022-10-14
274,Brothers Osborne,Midnight Rider's Prayer,track,Skeletons (Deluxe),15,2022-01-21
275,Zac Brown Band,Wild Palomino,track,The Comeback (Deluxe),21,2022-09-30
276,Mitchell Tenpenny,Elephant in the Room (feat. Teddy Swims),track,Elephant in the Room (feat. Teddy Swims),1,2022-04-29
277,The Unlikely Candidates,Novocaine,track,Panther Island,11,2022-05-20
278,alt-J,U&ME,track,The Dream,12,2022-02-11
279,Shane & Shane,You've Already Won - Live,track,You've Already Won (Live),1,2022-12-30
280,Nickelback,Standing In The Dark,track,Get Rollin',11,2022-11-18
281,Arctic Monkeys,Body Paint,track,The Car,10,2022-10-21
282,Dylan Scott,Livin' My Best Life,track,Livin' My Best Life,16,2022-08-05
283,Hippo Campus,Boys,track,LP3,10,2022-02-04
284,Insane Clown Posse,I'm Ugly,track,Pug Ugly,7,2022-08-05
285,Imagine Dragons,One Day,track,Mercury - Acts 1 & 2,32,2022-07-01
286,lovelytheband,sail away,track,sail away,1,2022-06-24
287,Papa Roach,No Apologies,track,Ego Trip,14,2022-04-08
288,Coheed and Cambria,Shoulders,track,Vaxis II: A Window of the Waking Mind,13,2022-06-24
289,Stick Figure,Edge of the Ocean,track,Edge of the Ocean,2,2022-08-12
290,"Black Country, New Road",Good Will Hunting,track,Ants From Up There,10,2022-02-04
291,Tauren Wells,Fake It,track,Joy In The Morning,10,2022-06-10
292,Quarters of Change,T Love,track,Into The Rift,11,2022-07-29
293,Thomas Rhett,Where We Started,track,Where We Started,15,2022-04-01
294,Florence + The Machine,Girls Against God,track,Dance Fever,14,2022-05-13
295,The Beths,Expert In A Dying Field,track,Expert In A Dying Field,12,2022-09-16
296,Matt Maher,The Lord's Prayer (It's Yours),track,The Stories I Tell Myself,8,2022-09-09
297,Three Days Grace,Neurotic (feat. Lukas Rossi),track,EXPLOSIONS,12,2022-05-06
298,Florence + The Machine,Daffodil,track,Dance Fever,14,2022-05-13
299,TOOL,Opiate²,track,Opiate²,1,2022-03-01
300,Tame Impala,No Choice,track,The Slow Rush B-Sides & Remixes,8,2022-02-18
301,Yeah Yeah Yeahs,Burning,track,Cool It Down,8,2022-09-30
302,Milky Chance,Unknown Song,track,Unknown Song,1,2022-01-21
303,DECO*27,The Vampire,track,MANNEQUIN,11,2022-03-09
304,Siddhartha,00:00,track,00:00,10,2022-03-31
305,Josiah and the Bonnevilles,Anti-Hero (Country Version),track,2022,13,2022-12-14
306,Momma,Medicine,track,Household Name,12,2022-07-01
307,KANA-BOON,スターマーカー (Album Mix),track,Honey & Darling,15,2022-03-30
308,Zac Brown Band,Out In The Middle,track,The Comeback (Deluxe),21,2022-09-30
309,Goth Babe,Running Around,track,Running Around,1,2022-02-02
310,Goth Babe,Surfing in Iceland,track,Surfing in Iceland,1,2022-10-14
311,HoneyWorks,Kawaikutegomen,track,Kokuhakujikkouiinkai -FLYING SONGS- Koishiteru,13,2022-08-28
312,Florence + The Machine,Cassandra,track,Dance Fever,14,2022-05-13
313,Guns N' Roses,November Rain - 2022 Version,track,Use Your Illusion I (Deluxe Edition),29,2022-11-11
314,quannnic,soil,track,kenopsia,10,2022-02-28
315,Jesse Roper,Does Anybody Know,track,Horizons,13,2022-09-30
316,Palace,Lover (Don't Let Me Down),track,Shoals,12,2022-01-21
317,Surfer Girl,Five Temptations,track,Sunrise,13,2022-09-16
318,Jason Aldean,God Made Airplanes,track,GEORGIA,15,2022-04-22
319,ivri,no way out,track,no way out,1,2022-10-27
320,Jon Pardi,Fill 'Er Up,track,Mr. Saturday Night,14,2022-09-02
321,TK from Ling tosite sigure,first death,track,first death,1,2022-11-30
322,Alvvays,Easy On Your Own?,track,Blue Rev,14,2022-10-07
323,Natalie Grant,You Will Be Found,track,You Will Be Found,1,2022-12-16
324,Stars Go Dim,Authority (In The Name Of Jesus),track,Grace In The Wilderness,13,2022-04-29
325,Dorothy,Black Sheep,track,Gifts From The Holy Ghost,10,2022-04-22
326,Marcus King,Hard Working Man,track,Young Blood,11,2022-08-26
327,Ghost,Twenties,track,IMPERA,12,2022-03-11
328,Bryce Fox,Bodies,track,Strength,11,2022-04-08
329,Arctic Monkeys,Hello You,track,The Car,10,2022-10-21
330,Dan Bremnes,Lover Of My Soul,track,Into The Wild,10,2022-06-17
331,Megadeth,We’ll Be Back,track,"The Sick, The Dying… And The Dead!",14,2022-09-02
332,Arctic Monkeys,Body Paint,track,Body Paint,2,2022-09-29
333,Stephen Bishop,It Might Be You,track,Best of Bish,15,2022-07-08
334,Friday Pilots Club,Bury Me,track,"I LOVE YOU, ROBOT SUPERSTAR!",6,2022-10-27
335,The Fixx,Saved By Zero,track,Synth Pop,42,2022-02-21
336,Sophie Powers,U Love It,track,U Love It,1,2022-02-18
337,Zac Brown Band,Out In The Middle,track,Out in the Middle,2,2022-06-22
338,Red Hot Chili Peppers,Eddie,track,Return of the Dream Canteen,17,2022-10-14
339,Royel Otis,Bull Breed,track,Bull Breed,2,2022-05-31
340,Slipknot,Hive Mind,track,"The End, So Far",12,2022-09-30
341,Barns Courtney,Supernatural,track,Supernatural,1,2022-09-09
342,Tedeschi Trucks Band,Soul Sweet Song,track,I Am The Moon: IV. Farewell,6,2022-08-26
343,The 1975,Wintering,track,Being Funny In A Foreign Language,11,2022-10-14
344,MercyMe,Then Christ Came (feat. Phil Wickham),track,Then Christ Came (feat. Phil Wickham),1,2022-11-18
345,Whiskey Myers,Antioch,track,Tornillo,12,2022-07-29
346,Alex G,Ain't It Easy,track,God Save The Animals,13,2022-09-23
347,Red Hot Chili Peppers,She's a Lover,track,Unlimited Love,17,2022-04-01
348,Lee Brice,Soul (R3HAB Remix),track,Soul (R3HAB Remix),1,2022-06-03
349,Arctic Monkeys,Big Ideas,track,The Car,10,2022-10-21
350,Big Thief,Dragon New Warm Mountain I Believe in You,track,Dragon New Warm Mountain I Believe In You,20,2022-02-11
351,Maná,Te Lloré Un Río - Versión Mariacheño,track,Te Lloré Un Río,2,2022-02-25
352,Red Hot Chili Peppers,Black Summer,track,Unlimited Love,17,2022-04-01
353,Wet Leg,Ur Mum,track,Wet Leg,12,2022-04-08
354,Casting Crowns,Crazy People,track,Healer,7,2022-01-14
355,The Lumineers,BIG SHOT,track,BRIGHTSIDE,9,2022-01-14
356,Slipknot,Adderall,track,"The End, So Far",12,2022-09-30
357,Bad Suns,Baby Blue Shades,track,Apocalypse Whenever,13,2022-01-28
358,The Lumineers,REPRISE,track,BRIGHTSIDE,9,2022-01-14
359,Beach House,Once Twice Melody,track,Once Twice Melody,18,2022-02-18
360,Casting Crowns,All Because of Mercy,track,Healer (Deluxe),14,2022-08-26
361,Big Thief,Heavy Bend,track,Dragon New Warm Mountain I Believe In You,20,2022-02-11
362,Wet Leg,Angelica,track,Wet Leg,12,2022-04-08
363,Polyphia,Chimera (feat. Lil West),track,Remember That You Will Die,12,2022-10-28
364,Petey,Lean Into Life,track,Lean Into Life,13,2022-09-29
365,Slipknot,Warranty,track,"The End, So Far",12,2022-09-30
366,Momma,Speeding 72,track,Household Name,12,2022-07-01
367,Midrift,leaving tonight,track,leaving tonight,1,2022-12-30
368,Jon Pardi,Mr. Saturday Night,track,Mr. Saturday Night,1,2022-07-22
369,Ben Rector,Wonderful World,track,Wonderful World,1,2022-09-23
370,Mitchell Tenpenny,Happy and I Hate It,track,This Is the Heavy,20,2022-09-16
371,Alvvays,Belinda Says,track,Blue Rev,14,2022-10-07
372,Beach House,Superstar,track,Once Twice Melody,18,2022-02-18
373,Dirty Heads,Life's Been Good,track,Life's Been Good,1,2022-06-24
374,Alvvays,Pharmacist,track,Blue Rev,14,2022-10-07
375,Florida Georgia Line,Get Your Shine On,track,Greatest Hits,18,2022-11-09
376,Thomas Rhett,Us Someday,track,Where We Started,15,2022-04-01
377,Siddhartha,Brújula,track,00:00,10,2022-03-31
378,The Lumineers,NEVER REALLY MINE,track,BRIGHTSIDE,9,2022-01-14
379,The Poles,space,track,The High Tide Club,10,2022-01-15
380,Brantley Gilbert,The Worst Country Song Of All Time,track,So Help Me God,10,2022-11-10
381,Imagine Dragons,Monday,track,Mercury - Acts 1 & 2,32,2022-07-01
382,Pixies,Human Crime,track,Human Crime,1,2022-03-02
383,Rammstein,Giftig,track,Zeit,11,2022-04-29
384,Hollywood Undead,CHAOS,track,Hotel Kalifornia,14,2022-08-12
385,Korn,Forgotten,track,Requiem,9,2022-02-04
386,Stick Figure,Falling Stars,track,Wisdom,14,2022-09-09
387,Dylan Scott,In Our Blood,track,Livin' My Best Life,16,2022-08-05
388,Red Hot Chili Peppers,Tippa My Tongue,track,Return of the Dream Canteen,17,2022-10-14
389,Ozzy Osbourne,Patient Number 9 (feat. Jeff Beck),track,Patient Number 9 (feat. Jeff Beck),1,2022-06-24
390,The Blue Stones,Healing,track,Pretty Monster,10,2022-11-04
391,Imagine Dragons,I Don't Like Myself,track,Mercury - Acts 1 & 2,32,2022-07-01
392,Imagine Dragons,Cutthroat,track,Mercury - Acts 1 & 2,32,2022-07-01
393,Beach House,New Romance,track,Once Twice Melody,18,2022-02-18
394,Ben Rector,It Would Be You,track,The Joy of Music,13,2022-03-11
395,Zac Brown Band,Stubborn Pride,track,The Comeback (Deluxe),21,2022-09-30
396,Sufjan Stevens,Fourth of July,track,Fourth of July,3,2022-07-01
397,Tropidelic,Neighborhood (with Krayzie Bone & Prof),track,All The Colors,12,2022-08-05
398,Milky Chance,Table For Two,track,Trip Tape II,12,2022-10-05
399,Nickelback,Does Heaven Even Know You're Missing?,track,Get Rollin',11,2022-11-18
400,The 1975,I'm In Love With You,track,I'm In Love With You,1,2022-09-01
401,Red Hot Chili Peppers,White Braids & Pillow Chair,track,Unlimited Love,17,2022-04-01
402,Florence + The Machine,Breath Of Life,track,Harder Than Hell,11,2022-02-11
403,Elle King,Worth A Shot (feat. Dierks Bentley),track,Worth A Shot (feat. Dierks Bentley),1,2022-05-13
404,Imagine Dragons,It's Ok,track,Mercury - Acts 1 & 2,32,2022-07-01
405,Goth Babe,I'm in Luv,track,Iceland,4,2022-11-04
406,Florence + The Machine,King,track,King,1,2022-02-23
407,Elvis Presley,(You're The) Devil in Disguise,track,Elvis 30 #1 Hits (Expanded Edition),40,2022-02-18
408,King Clave,Los Hombres No Deben Llorar,track,La Gran Fiesta Formoseña,17,2022-11-14
409,Rammstein,Zick Zack,track,Zeit,11,2022-04-29
410,Red Hot Chili Peppers,Here Ever After,track,Unlimited Love,17,2022-04-01
411,Cole Swindell,Stereotype,track,Stereotype,13,2022-04-08
412,All Time Low,Sleepwalking,track,Sleepwalking,1,2022-10-07
413,Florence + The Machine,My Love - Dave Glass Animals Remix,track,My Love (Dave Glass Animals Remix),1,2022-04-01
414,Imagine Dragons,Easy Come Easy Go,track,Mercury - Acts 1 & 2,32,2022-07-01
415,YUNGBLUD,Memories (with WILLOW),track,YUNGBLUD,12,2022-09-02
416,Big Thief,Time Escaping,track,Dragon New Warm Mountain I Believe In You,20,2022-02-11
417,Coheed and Cambria,Comatose,track,Vaxis II: A Window of the Waking Mind,13,2022-06-24
418,Death Cab for Cutie,Here to Forever,track,Asphalt Meadows,11,2022-09-16
419,Two Feet,Tell Me The Truth,track,Shape & Form,14,2022-05-13
420,Drugdealer,Madison,track,Hiding in Plain Sight,9,2022-10-28
421,OneRepublic,I Ain’t Worried - Acoustic,track,"I Ain’t Worried - Acoustic (Music From The Motion Picture ""Top Gun: Maverick"")",1,2022-08-05
422,Soccer Mommy,Shotgun,track,"Sometimes, Forever",11,2022-06-24
423,Spoon,Wild,track,Lucifer On The Sofa,10,2022-02-11
424,Big Thief,Spud Infinity,track,Dragon New Warm Mountain I Believe In You,20,2022-02-11
425,Red Hot Chili Peppers,Peace and Love,track,Return of the Dream Canteen,17,2022-10-14
426,Zac Brown Band,Love and Sunsets,track,The Comeback (Deluxe),21,2022-09-30
427,Ghost,Call Me Little Sunshine,track,Call Me Little Sunshine,2,2022-01-20
428,Brent Cobb,Wild And Blue,track,Wild And Blue,2,2022-06-01
429,Luna Li,Silver Into Rain,track,Duality,13,2022-03-04
430,for KING & COUNTRY,Broken Halos,track,What Are We Waiting For?,13,2022-03-11
431,"Black Country, New Road",Haldern,track,Ants From Up There,10,2022-02-04
432,Arctic Monkeys,Jet Skis On The Moat,track,The Car,10,2022-10-21
433,Coheed and Cambria,A Disappearing Act,track,Vaxis II: A Window of the Waking Mind,13,2022-06-24
434,Skillet,Surviving The Game,track,Dominion,12,2022-01-14
435,Goodbye June,Step Aside,track,See Where The Night Goes,11,2022-02-18
436,Mihali,Maplewood,track,Effection,10,2022-07-22
437,Surfer Girl,Gasoline,track,Sunrise,13,2022-09-16
438,Natalia Lafourcade,María la Curandera,track,De Todas las Flores,12,2022-10-28
439,Bonnie Raitt,Just Like That,track,Just Like That...,10,2022-04-22
440,Royel Otis,Egg Beater,track,Bar & Grill,6,2022-08-05
441,"Black Country, New Road",Basketball Shoes,track,Ants From Up There,10,2022-02-04
442,Walker Hayes,Country Stuff (feat. Jake Owen),track,Country Stuff The Album,13,2022-01-21
443,The Happy Fits,Cold Turkey,track,Under The Shade of Green,12,2022-08-26
444,The Movement,On & On (with Iration),track,Always With Me,15,2022-07-29
445,Cole Swindell,She Had Me At Heads Carolina (with Jo Dee Messina) - Remix,track,She Had Me At Heads Carolina (with Jo Dee Messina) [Remix],3,2022-11-07
446,Rebecca St. James,Kingdom Come,track,Kingdom Come,12,2022-03-25
447,Rojo,El Sacrificio,track,Alumbras Mi Vida,13,2022-05-31
448,Ghost,Imperium,track,IMPERA,12,2022-03-11
449,Bryce Fox,Golden Boy,track,Strength,11,2022-04-08
450,Imagine Dragons,Higher Ground,track,Mercury - Acts 1 & 2,32,2022-07-01
451,HEALTH,NO ESCAPE,track,DISCO4 :: PART II,12,2022-04-08
452,Insane Clown Posse,Abbracadabbra,track,Pug Ugly,7,2022-08-05
453,Luke Bryan,Country On,track,Prayin' In A Deer Stand,11,2022-12-02
454,for KING & COUNTRY,Cheering You On,track,What Are We Waiting For?,13,2022-03-11
455,Imagine Dragons,#1,track,Mercury - Acts 1 & 2,32,2022-07-01
456,Jason Aldean,Midnight And Missin’ You,track,GEORGIA,15,2022-04-22
457,Kip Moore,Fire On Wheels,track,Fire On Wheels,1,2022-06-24
458,Arctic Monkeys,I Ain’t Quite Where I Think I Am,track,The Car,10,2022-10-21
459,Sigur Rós,Untitled #9 - Smáskifa 1,track,( ) [2022 Remaster],14,2022-10-28
460,Hollywood Undead,Ruin My Life,track,Hotel Kalifornia,14,2022-08-12
461,Jesús Adrián Romero,¿Cómo Me Ves?,track,¿Cómo Me Ves?,6,2022-05-20
462,Whiskey Myers,Heavy on Me,track,Tornillo,12,2022-07-29
463,YUNGBLUD,The Funeral,track,The Funeral,1,2022-03-11
464,Imagine Dragons,Dull Knives,track,Mercury - Acts 1 & 2,32,2022-07-01
465,Spacey Jane,Lots of Nothing,track,Here Comes Everybody,12,2022-06-24
466,The Struts,Fallin' With Me,track,Fallin' With Me,1,2022-08-19
467,Spiderbait,Black Betty - Extended Version,track,Game Day - Hockey,26,2022-02-25
468,Megadeth,"The Sick, The Dying… And The Dead!",track,"The Sick, The Dying… And The Dead!",14,2022-09-02
469,Meredith Andrews,Make Room,track,Make Room,1,2022-01-21
470,Alex G,Runner,track,Runner,2,2022-06-21
471,Polyphia,Memento Mori (feat. Killstation),track,Remember That You Will Die,12,2022-10-28
472,Polyphia,Fuck Around and Find Out (feat. $NOT),track,Remember That You Will Die,12,2022-10-28
473,Anıl Emre Daldal,M. - Sped Up Version,track,Silly Matters (Sped Up Version),10,2022-11-25
474,Phil Wickham,Hymn Of Heaven - Acoustic,track,Hymn Of Heaven (Acoustic Sessions),12,2022-03-25
475,Bomba Estéreo,Me Duele,track,Me Duele,1,2022-09-14
476,Jesús Adrián Romero,A Vivir,track,A Vivir,1,2022-10-26
477,Mitchell Tenpenny,Good Place,track,This Is the Heavy,20,2022-09-16
478,coldrain,Bloody Power Fame,track,Bloody Power Fame,1,2022-07-01
479,Jason Aldean,Whiskey Me Away,track,GEORGIA,15,2022-04-22
480,Alex G,Miracles,track,God Save The Animals,13,2022-09-23
481,Hollywood Undead,City of the Dead,track,Hotel Kalifornia,14,2022-08-12
482,Lake Street Dive,You're Still The One,track,Fun Machine: The Sequel,6,2022-09-09
483,Polyphia,Genesis (feat. Brasstracks),track,Remember That You Will Die,12,2022-10-28
484,Sharon Van Etten,Mistakes,track,We've Been Going About This All Wrong,10,2022-05-06
485,Red Hot Chili Peppers,Fake as Fu@k,track,Return of the Dream Canteen,17,2022-10-14
486,The Ghost Club,Same Graves,track,The Ghost Club,9,2022-09-08
487,Wet Leg,Too Late Now,track,Wet Leg,12,2022-04-08
488,Kip Moore,If I Was Your Lover,track,If I Was Your Lover,1,2022-09-16
489,Brantley Gilbert,She’s The One,track,So Help Me God,10,2022-11-10
490,✝✝✝ (Crosses),Vivien,track,PERMANENT.RADIANT,6,2022-12-09
491,Midrift,Midrift,track,Midrift,5,2022-12-10
492,Lake Street Dive,Linger,track,Fun Machine: The Sequel,6,2022-09-09
493,black midi,Welcome to Hell,track,Hellfire,10,2022-07-15
494,Austin French,Good Feeling - Radio Version,track,Good Feeling (Radio Version),1,2022-03-25
495,Rammstein,Zeit,track,Zeit,11,2022-04-29
496,Elton John,Cold Heart,track,NOW That's What I Call Music! Pride,18,2022-05-20
497,The Del-Vikings,Whispering Bells,track,The Pennsylvania Vikings,11,2022-07-01
498,Imagine Dragons,Sirens,track,Mercury - Acts 1 & 2,32,2022-07-01
499,MASS OF THE FERMENTING DREGS,Dramatic,track,Awakening:Sleeping,9,2022-08-17
